Year,Code,Major,College,CollegeID,C_P,Program,Male,Female,SUM,Ratio
103,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,6,46,52,88.46153846
99,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,7,44,51,86.2745098
98,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,8,46,54,85.18518519
101,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,9,40,49,81.63265306
98,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,23,102,125,81.6
97,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,10,43,53,81.13207547
103,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,10,42,52,80.76923077
105,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,24,100,124,80.64516129
101,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,23,95,118,80.50847458
97,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,11,45,56,80.35714286
102,220201,中國文學系,文學院,1,文學院學士班,Bachelor,12,49,61,80.32786885
103,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,24,96,120,80
98,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,11,42,53,79.24528302
97,220201,中國文學系,文學院,1,文學院學士班,Bachelor,14,52,66,78.78787879
101,220201,中國文學系,文學院,1,文學院學士班,Bachelor,13,48,61,78.68852459
105,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,12,44,56,78.57142857
105,220201,中國文學系,文學院,1,文學院學士班,Bachelor,13,47,60,78.33333333
100,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,29,99,128,77.34375
102,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,12,40,52,76.92307692
99,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,12,38,50,76
100,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,12,38,50,76
101,220320,日本語文學系,文學院,1,文學院學士班,Bachelor,12,38,50,76
98,220201,中國文學系,文學院,1,文學院學士班,Bachelor,20,61,81,75.30864198
99,220201,中國文學系,文學院,1,文學院學士班,Bachelor,13,39,52,75
102,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,31,91,122,74.59016393
104,220301,外國語文學系,文學院,1,文學院學士班,Bachelor,32,92,124,74.19354839
104,320602,圖書資訊學系,文學院,1,文學院學士班,Bachelor,13,37,50,74
